,iupac,smiles,expt,calc
428,5-fluorouracil,O=C1:[NH]:C:C(F):C(=O):[NH]:1,-16.92,-16.371
429,ethanol,CCO,-5.0,-3.3939999999999997
430,"1,4-dimethylnaphthalene",CC1:C:C:C(C):C2:C:C:C:C:C:1:2,-2.82,-3.0810000000000004
431,"2,3,7,8-tetrachlorodibenzo-p-dioxin",ClC1:C:C2:C(:C:C:1Cl)OC1:C:C(Cl):C(Cl):C:C:1O2,-3.37,-2.54
432,dichlobenil,N#CC1:C(Cl):C:C:C:C:1Cl,-4.71,-3.32
433,ethyl formate,CCOC=O,-2.56,-3.867
434,"1,2,4,5-tetrachlorobenzene",ClC1:C:C(Cl):C(Cl):C:C:1Cl,-1.34,0.035
435,diethoxymethoxybenzene,CCOC(OCC)OC1:C:C:C:C:C:1,-5.23,-5.202999999999999
436,3-nitrophenol,O=[N+]([O-])C1:C:C:C:C(O):C:1,-9.62,-7.888999999999999
437,octan-1-ol,CCCCCCCCO,-4.09,-2.69
438,but-1-ene,C=CCC,1.38,2.367
439,carbon tetrachloride,ClC(Cl)(Cl)Cl,0.08,1.185
440,2-phenylethanol,OCCC1:C:C:C:C:C:1,-6.79,-5.28
441,fenuron,CN(C)C(=O)NC1:C:C:C:C:C:1,-9.13,-11.81
442,methyldisulfanylmethane,CSSC,-1.83,-0.09300000000000001
443,captan,O=C1[C@@H]2CC=CC[C@H]2C(=O)N1SC(Cl)(Cl)Cl,-9.01,-8.718
444,"2,3-diacetoxypropyl acetate",CC(=O)OCC(COC(C)=O)OC(C)=O,-8.84,-12.333
445,methoxymethane,COC,-1.91,-0.853
446,hexane,CCCCCC,2.48,2.8510000000000004
447,"1,2-dibromoethane",BrCCBr,-2.33,-1.275
448,"1,1,1,2,2-pentachloroethane",ClC(Cl)C(Cl)(Cl)Cl,-1.23,0.059000000000000004
449,5-trifluoromethyluracil,O=C1:[NH]:C:C(C(F)(F)F):C(=O):[NH]:1,-15.46,-17.349
450,"2,6-dimethylaniline",CC1:C:C:C:C(C):C:1N,-5.21,-5.57
451,propyl acetate,CCCOC(C)=O,-2.79,-3.486
452,quinoline,C1:C:C:C2:N:C:C:C:C:2:C:1,-5.72,-4.989
453,ethanethiol,CCS,-1.14,-0.395
454,ethyldisulfanylethane,CCSSCC,-1.64,-0.9790000000000001
455,thiophene,C1:C:C:S:C:1,-1.4,-0.359
456,1-ethylnaphthalene,CCC1:C:C:C:C2:C:C:C:C:C:1:2,-2.4,-2.9610000000000003
457,pentan-2-one,CCCC(C)=O,-3.52,-3.1660000000000004
458,"1,2,3,4-tetrachloro-5-(2,3,4,6-tetrachlorophenyl)benzene",ClC1:C:C(C2:C(Cl):C:C(Cl):C(Cl):C:2Cl):C(Cl):C(Cl):C:1Cl,-4.61,-0.039
459,profluralin,CCCN(CC1CC1)C1:C([N+](=O)[O-]):C:C(C(F)(F)F):C:C:1[N+](=O)[O-],-2.45,-1.956
460,acetic acid,CC(=O)O,-6.69,-7.281000000000001
461,acetaldehyde,CC=O,-3.5,-3.372
462,3-nitroaniline,NC1:C:C:C:C([N+](=O)[O-]):C:1,-8.84,-8.204
463,hex-1-yne,C#CCCCC,0.29,0.5529999999999999
464,2-methoxyaniline,COC1:C:C:C:C:C:1N,-6.12,-6.771
465,phenol,OC1:C:C:C:C:C:1,-6.6,-5.707000000000001
466,propanenitrile,CCC#N,-3.84,-2.491
467,naphthalen-1-ol,OC1:C:C:C:C2:C:C:C:C:C:1:2,-7.67,-7.1370000000000005
468,butyl acetate,CCCCOC(C)=O,-2.64,-3.406
469,aldicarb,CNC(=O)O/N=C\C(C)(C)SC,-9.84,-9.679
470,o-cresol,CC1:C:C:C:C:C:1O,-5.9,-5.0760000000000005
471,2-methylpropanal,CC(C)C=O,-2.86,-2.968
472,propionamide,CCC(N)=O,-9.4,-8.31
473,1-bromopropane,CCCBr,-0.56,0.579
474,2-chloropropane,CC(C)Cl,-0.25,0.833
475,"1,3-dichloropropane",ClCCCCl,-1.89,-0.41600000000000004
476,4-nitrophenol,O=[N+]([O-])C1:C:C:C(O):C:C:1,-10.64,-8.472000000000001
477,"1,2-dichloropropane",C[C@H](Cl)CCl,-1.27,-0.265
478,4-chloroaniline,NC1:C:C:C(Cl):C:C:1,-5.9,-5.281000000000001
479,"1-amino-9,10-anthracenedione",NC1:C:C:C:C2:C:1C(=O)C1:C:C:C:C:C:1C2=O,-9.44,-12.214
480,"2,3-dimethylpyridine",CC1:C:C:C:N:C:1C,-4.82,-3.367
481,pyridine-4-carbonitrile,N#CC1:C:C:N:C:C:1,-6.02,-5.765
482,diethoxy-(ethylsulfanylmethylsulfanyl)-thioxo-$l^{5}-phosphane,CCOP(=S)(OCC)SCSCC,-4.37,-6.4270000000000005
483,1-cyclohexylethanone,CC(=O)C1CCCCC1,-3.9,-4.003
484,2-methylbenzaldehyde,CC1:C:C:C:C:C:1C=O,-3.93,-4.553999999999999
485,1-(4-pyridyl)ethanone,CC(=O)C1:C:C:N:C:C:1,-7.62,-7.566
486,"1,2,3,4,7,8-hexachlorodibenzo-p-dioxin",ClC1:C:C2:C(:C:C:1Cl)OC1:C(Cl):C(Cl):C(Cl):C(Cl):C:1O2,-3.71,-1.8780000000000001
487,acetone,CC(C)=O,-3.8,-3.5060000000000002
488,2-methylprop-1-ene,C=C(C)C,1.16,2.327
489,"1,2,3-trichloro-5-(2,5-dichlorophenyl)benzene",ClC1:C:C:C(Cl):C(C2:C:C(Cl):C(Cl):C(Cl):C:2):C:1,-3.61,-0.922
490,1-nitropentane,CCCCC[N+](=O)[O-],-2.82,-1.325
491,(2E)-hex-2-enal,CCC/C=C/C=O,-3.68,-3.123
492,"N,N-dimethyl-4-nitro-benzamide",CN(C)C(=O)C1:C:C:C([N+](=O)[O-]):C:C:1,-11.95,-10.036
493,tetrahydrofuran,C1CCOC1,-3.47,-2.201
494,octane,CCCCCCCC,2.88,3.088
495,trifluralin,CCCN(CCC)C1:C([N+](=O)[O-]):C:C(C(F)(F)F):C:C:1[N+](=O)[O-],-3.25,-2.023
496,"(3R)-3,7-Dimethylocta-1,6-dien-3-yl acetate",C=C[C@@](C)(CCC=C(C)C)OC(C)=O,-2.49,-2.964
497,"1,3-bis-(nitrooxy)butane",C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-],-4.29,-4.944
498,2-isopropoxypropane,CC(C)OC(C)C,-0.53,-0.17800000000000002
499,2-methylhexane,CCCCC(C)C,2.93,2.8939999999999997
500,pentachloronitrobenzene,O=[N+]([O-])C1:C(Cl):C(Cl):C(Cl):C(Cl):C:1Cl,-5.22,-1.284
501,"2-bromo-2-chloro-1,1,1-trifluoro-ethane",FC(F)(F)[C@H](Cl)Br,-0.11,0.20600000000000002
502,1-butoxybutane,CCCCOCCCC,-0.83,0.139
503,pentylcyclopentane,CCCCCC1CCCC1,2.55,2.381
504,"2,4-dimethylpentane",CC(C)CC(C)C,2.83,2.7560000000000002
505,"2,5-dimethylpyridine",CC1:C:C:C(C):N:C:1,-4.72,-3.165
506,but-2-enal,C/C=C/C=O,-4.22,-3.341
507,3-methylhexane,CCC[C@H](C)CC,2.71,2.81
508,"1,3,5-trichloro-2-(2,6-dichlorophenyl)benzene",ClC1:C:C(Cl):C(C2:C(Cl):C:C:C:C:2Cl):C(Cl):C:1,-1.96,-0.47700000000000004
509,"1,2,2-trifluoroethoxybenzene",FC(F)[C@@H](F)OC1:C:C:C:C:C:1,-1.29,-3.043
510,"1,2-dimethoxyethane",COCCOC,-4.84,-3.103
511,sec-butylbenzene,CC[C@H](C)C1:C:C:C:C:C:1,-0.45,-0.22
512,3-phenylpropan-1-ol,OCCCC1:C:C:C:C:C:1,-6.92,-5.771
513,"2-[(1R)-1-methylpropyl]-4,6-dinitro-phenolate",CC[C@@H](C)C1:C:C([N+](=O)[O-]):C:C([N+](=O)[O-]):C:1O,-6.23,-5.377999999999999
514,methyl 4-methoxybenzoate,COC(=O)C1:C:C:C(OC):C:C:1,-5.33,-6.462000000000001
515,"N-(3,4-dichlorophenyl)propanimidic acid",CCC(=O)NC1:C:C:C(Cl):C(Cl):C:1,-7.78,-9.408999999999999
516,naproxen,COC1:C:C:C2:C:C([C@H](C)C(=O)O):C:C:C:2:C:1,-10.21,-12.199000000000002
517,octafluorocyclobutane,FC1(F)C(F)(F)C(F)(F)C1(F)F,3.43,3.077
518,isopentyl acetate,CC(=O)OCCC(C)C,-2.21,-3.0669999999999997
519,1-chlorohexane,CCCCCCCl,0.0,1.261
520,4-methylpentan-2-one,CC(=O)CC(C)C,-3.05,-3.116
521,hexanal,CCCCCC=O,-2.81,-2.86
522,3-chloroaniline,NC1:C:C:C:C(Cl):C:1,-5.82,-5.138
523,morpholine,C1COCCN1,-7.17,-6.1160000000000005
524,"1,1-diethoxyethane",CCOC(C)OCC,-3.28,-1.795
525,"N-butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)aniline",CCCCN(CC)C1:C([N+](=O)[O-]):C:C(C(F)(F)F):C:C:1[N+](=O)[O-],-3.51,-2.303
526,methanethiol,CS,-1.2,-0.273
527,endosulfan alpha,O=S1OC[C@@H]2[C@H](CO1)[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl,-4.23,-9.785
528,1-(4-methoxyphenyl)ethanone,COC1:C:C:C(C(C)=O):C:C:1,-4.4,-6.575
529,prop-2-en-1-ol,C=CCO,-5.03,-3.286
530,methylsulfanylethane,CCSC,-1.5,0.386
531,pentyl acetate,CCCCCOC(C)=O,-2.51,-2.565
532,"1,2,3,5-tetrachlorobenzene",ClC1:C:C(Cl):C(Cl):C(Cl):C:1,-1.62,0.136
533,1-phenylethanone,CC(=O)C1:C:C:C:C:C:1,-4.58,-5.078
534,chloroethane,CCCl,-0.63,0.775
535,propylcyclopentane,CCCC1CCCC1,2.13,2.102
536,"1,3,5-trichlorobenzene",ClC1:C:C(Cl):C:C(Cl):C:1,-0.78,0.326
537,propyl paraben,CCCOC(=O)C1:C:C:C(O):C:C:1,-9.37,-8.945
538,3-chlorophenol,OC1:C:C:C:C(Cl):C:1,-6.62,-5.018
539,3-methylbutan-1-ol,CC(C)CCO,-4.42,-3.237
540,pentan-1-amine,CCCCCN,-4.09,-2.835
541,terbacil,CC1:[NH]:C(=O):N(C(C)(C)C):C(=O):C:1Cl,-11.14,-13.769
542,"2,2,5-trimethylhexane",CC(C)CCC(C)(C)C,2.93,2.97
543,2-butoxyethanol,CCCCOCCO,-6.25,-3.85
544,endrin,ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]4C[C@H]([C@@H]5O[C@@H]54)[C@H]3[C@@]1(Cl)C2(Cl)Cl,-4.82,-5.178999999999999
545,benzamide,NC(=O)C1:C:C:C:C:C:1,-11.0,-10.412
546,2-nitropropane,CC(C)[N+](=O)[O-],-3.13,-1.7409999999999999
547,glycerol,OCC(O)CO,-13.43,-10.14
548,1-iodopropane,CCCI,-0.53,-0.44299999999999995
549,2-methoxyethanamine,COCCN,-6.55,-5.027
550,"1,1,1,2-tetrachloroethane",ClCC(Cl)(Cl)Cl,-1.43,-0.091
551,methyl propanoate,CCC(=O)OC,-2.93,-3.6519999999999997
552,cyclopentane,C1CCCC1,1.2,1.6480000000000001
553,3-ethylpyridine,CCC1:C:C:C:N:C:1,-4.59,-2.965
554,"3,5-dimethylpyridine",CC1:C:N:C:C(C):C:1,-4.84,-2.8689999999999998
555,2-methoxyethanol,COCCO,-6.619999999999999,-4.686
556,methyl formate,COC=O,-2.78,-4.0280000000000005
557,naphthalen-2-amine,NC1:C:C:C2:C:C:C:C:C:2:C:1,-7.47,-8.003
558,4-methyl-1H-imidazole,CC1:C:[NH]:C:N:1,-10.27,-8.205
559,1-methyl-3-nitro-benzene,CC1:C:C:C:C([N+](=O)[O-]):C:1,-3.45,-3.278
560,"1,4-dichlorobutane",ClCCCCCl,-2.32,-0.40399999999999997
561,nitroxyacetone,CC(=O)CO[N+](=O)[O-],-5.99,-5.362
562,tert-butylbenzene,CC(C)(C)C1:C:C:C:C:C:1,-0.44,-0.8029999999999999
563,methyl hexanoate,CCCCCC(=O)OC,-2.49,-3.299
564,"1,1,1-trifluoropropan-2-ol",C[C@H](O)C(F)(F)F,-4.16,-3.5180000000000002
565,1-bromo-pentane,CCCCCBr,-0.1,0.8240000000000001
566,oct-1-ene,C=CCCCCCC,1.92,2.895
567,6-isopropyl-3-methyl-1-cyclohex-2-enone,CC1=CC(=O)[C@H](C(C)C)CC1,-4.51,-3.825
568,propan-2-ol,CC(C)O,-4.74,-3.427
569,hexan-1-amine,CCCCCCN,-3.95,-2.772
570,3-nitrooxypropyl nitrate,O=[N+]([O-])OCCCO[N+](=O)[O-],-4.8,-5.322
571,"2,4-dimethylphenol",CC1:C:C:C(O):C(C):C:1,-6.01,-4.98
572,pentan-1-ol,CCCCCO,-4.57,-3.054
573,pentan-2-ol,CCC[C@@H](C)O,-4.39,-2.945
574,3-methylheptane,CCCC[C@@H](C)CC,2.97,3.03
575,ibuprofen,CC(C)CC1:C:C:C([C@H](C)C(=O)O):C:C:1,-7.0,-10.857000000000001
576,diethyl (2R)-2-dimethoxyphosphinothioylsulfanylbutanedioate,CCOC(=O)C[C@@H](SP(=S)(OC)OC)C(=O)OCC,-8.15,-11.194
577,"3,4-dimethylphenol",CC1:C:C:C(O):C:C:1C,-6.5,-5.471
578,4-chloro-3-methyl-phenol,CC1:C:C(O):C:C:C:1Cl,-6.79,-5.14
579,hept-2-ene,C/C=C/CCCC,1.68,2.78
580,1-propoxypropane,CCCOCCC,-1.16,-0.004
581,"(1R,2S,5R)-2-isopropyl-5-methylcyclohexanol",CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,-3.2,-3.35
582,terbutryn,CCNC1:N:C(NC(C)(C)C):N:C(SC):N:1,-6.68,-9.271
583,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,2.89,2.542
584,nonan-5-one,CCCCC(=O)CCCC,-2.64,-2.364
585,pebulate,CCCCN(CC)C(=O)SCCC,-3.64,-4.573
586,hept-1-ene,C=CCCCCC,1.66,2.761
587,isopropyl formate,CC(C)OC=O,-2.02,-3.591
588,1-acetoxyethyl acetate,CC(=O)OC(C)OC(C)=O,-4.97,-8.006
589,5-chlorouracil,O=C1:[NH]:C:C(Cl):C(=O):[NH]:1,-17.74,-16.612000000000002
590,isopropenylbenzene,C=C(C)C1:C:C:C:C:C:1,-1.24,-0.6509999999999999
591,isopentane,CCC(C)C,2.38,2.59
592,butyl nitrate,CCCCO[N+](=O)[O-],-2.09,-1.9380000000000002
593,bromobenzene,BrC1:C:C:C:C:C:1,-1.46,-0.9470000000000001
594,"1,1,1-trichloroethane",CC(Cl)(Cl)Cl,-0.19,0.505
595,4-(1-Methylethenyl)-1-cyclohexene-1-carboxaldehyde,C=C(C)[C@@H]1CC=C(C=O)CC1,-4.09,-3.591
596,1-methyl-2-nitro-benzene,CC1:C:C:C:C:C:1[N+](=O)[O-],-3.58,-3.133
597,1-iodoheptane,CCCCCCCI,0.27,0.228
598,pyrene,C1:C:C2:C:C:C3:C:C:C:C4:C:C:C(:C:1):C:2:C:3:4,-4.52,-6.79
599,1-chloro-pentane,CCCCCCl,-0.1,1.084
600,isobutyl acetate,CC(=O)OCC(C)C,-2.36,-2.8960000000000004
601,"2,2-dimethylbutane",CCC(C)(C)C,2.51,2.495
602,4-nitroaniline,NC1:C:C:C([N+](=O)[O-]):C:C:1,-9.82,-9.416
603,methyl 2-cyanoacetate,COC(=O)CC#N,-6.72,-6.36
604,4-methoxyaniline,COC1:C:C:C(N):C:C:1,-7.48,-7.016
605,isobutylbenzene,CC(C)CC1:C:C:C:C:C:1,0.16,-0.257
606,"1,3,5-trichloro-2-phenyl-benzene",ClC1:C:C(Cl):C(C2:C:C:C:C:C:2):C(Cl):C:1,-2.16,-1.151
607,methanamine,CN,-4.55,-3.583
608,2-chlorophenol,OC1:C:C:C:C:C:1Cl,-4.55,-3.3169999999999997
609,"2-amino-9,10-anthraquinone",NC1:C:C:C2:C(:C:1)C(=O)C1:C:C:C:C:C:1C2=O,-11.53,-13.895
610,"(Z)-1,2-dichloroethylene",Cl/C=C\Cl,-1.17,1.156
611,hexan-2-one,CCCCC(C)=O,-3.28,-3.0060000000000002
612,"1,2-dinitroxyethane",O=[N+]([O-])OCCO[N+](=O)[O-],-5.73,-6.227
613,2-fluorophenol,OC1:C:C:C:C:C:1F,-5.29,-3.346
614,pirimor,CC1:N:C(N(C)C):N:C(OC(=O)N(C)C):C:1C,-9.41,-13.87
615,styrene,C=CC1:C:C:C:C:C:1,-1.24,-1.078
616,triethylphosphate,CCOP(=O)(OCC)OCC,-7.5,-10.251
617,"2,2,2-trifluoroethanol",OCC(F)(F)F,-4.31,-3.8089999999999997
618,1-butoxy-2-propanol,CCCCOC[C@H](C)O,-5.73,-3.891
619,propan-1-ol,CCCO,-4.85,-3.33
620,o-xylene,CC1:C:C:C:C:C:1C,-0.9,-0.851
621,neopentane,CC(C)(C)C,2.51,2.506
622,pent-1-yne,C#CCCC,0.01,0.47
623,phthalimide,O=C1NC(=O)C2:C:C:C:C:C:21,-9.61,-11.825
624,1-iodobutane,CCCCI,-0.25,-0.223
625,p-cresol,CC1:C:C:C(O):C:C:1,-6.13,-5.579
626,2-iodopropane,CC(C)I,-0.46,-0.49200000000000005
627,2-methoxyphenol,COC1:C:C:C:C:C:1O,-5.94,-4.746
628,cyclopentene,C1=CCCC1,0.56,1.23
629,111-trifluoropropan-2-ol,C[C@@H](O)C(F)(F)F,-4.2,-3.486
630,propan-1-amine,CCCN,-4.39,-3.053
631,2-nitrophenol,O=[N+]([O-])C1:C:C:C:C:C:1O,-4.58,-5.667000000000001
632,1-methylnaphthalene,CC1:C:C:C:C2:C:C:C:C:C:1:2,-2.44,-3.2119999999999997
633,hexachlorobenzene,ClC1:C(Cl):C(Cl):C(Cl):C(Cl):C:1Cl,-2.33,0.379
634,oct-2-enal,CCCCC/C=C/C=O,-3.43,-2.7060000000000004
635,oct-1-yne,C#CCCCCCC,0.71,0.8320000000000001
636,diazinon,CCOP(=S)(OCC)OC1:C:C(C):N:C(C(C)C):N:1,-6.48,-10.753
637,methyl octanoate,CCCCCCCC(=O)OC,-2.04,-3.035
638,pyrrolidine,C1CCNC1,-5.48,-4.2780000000000005
639,4-hydroxybenzaldehyde,O=CC1:C:C:C(O):C:C:1,-8.83,-10.05
640,1-chloroheptane,CCCCCCCCl,0.29,1.4669999999999999
641,"1,4-dioxane",C1COCCO1,-5.06,-4.269
